Date, Visible_Light, Light_On



2019-07-04T12:10:07.387842,720905,True
2019-07-04T12:12:02.560186,5963912,False
2019-07-04T12:16:11.874988,8913124,False
2019-07-04T12:16:11.875827,8913124,False
2019-07-04T12:16:49.606819,6619284,False
2019-07-04T12:18:00.198082,6488210,False
2019-07-04T12:22:56.983970,6946968,False
2019-07-04T12:24:01.434817,6619280,False
2019-07-04T12:26:15.425778,6291597,False
2019-07-04T12:26:16.684292,5439611,False
2019-07-04T12:26:30.489341,6881431,False
2019-07-04T12:28:37.944922,6422676,False
2019-07-04T12:29:09.035220,4653158,False
2019-07-04T12:32:44.930428,6488208,False
2019-07-04T12:32:45.542276,6684824,False
2019-07-04T12:34:10.599317,8519884,False
2019-07-04T12:41:49.969613,6553739,False
2019-07-04T12:42:48.937804,2031672,False
2019-07-04T12:44:34.474944,1703983,True
2019-07-04T12:49:09.639857,3473572,False
2019-07-04T13:29:11.744416,1638447,True
2019-07-04T13:33:36.105468,1769524,False
2019-07-04T13:33:42.940042,1703986,True
2019-07-04T13:49:48.173213,2162748,False
2019-07-04T14:14:13.379824,983057,True
2019-07-04T15:34:15.435256,2687073,False
2019-07-04T16:14:17.539805,2949218,False
2019-07-04T17:00:10.297653,10092849,False
2019-07-04T17:00:39.259770,10027313,False
2019-07-04T17:00:41.090761,10027310,False
2019-07-04T17:01:45.569179,7864559,False
2019-07-04T17:02:00.037146,6291648,False
2019-07-04T17:03:46.499005,5898454,False
2019-07-04T17:04:25.769723,4456621,False
2019-07-04T17:13:15.793166,2228330,False
2019-07-04T17:15:18.209825,8454502,False
2019-07-04T17:15:58.265311,10486173,False
2019-07-04T17:20:12.585152,5308667,False
2019-07-04T17:21:07.789639,6488367,False
2019-07-04T17:22:33.513406,6750515,False
2019-07-04T18:02:35.618199,3735760,False
2019-07-04T18:19:29.830099,3408032,False
2019-07-04T18:19:39.169760,3539112,False
2019-07-04T18:20:01.599961,3276956,False
2019-07-04T18:20:02.150969,4194496,False
2019-07-04T18:20:26.009711,3080341,False
2019-07-04T18:36:05.909635,4194500,False
2019-07-04T18:36:22.040570,3408064,False
2019-07-04T18:36:29.030318,3997913,False
2019-07-04T18:37:17.758064,5636374,False
2019-07-04T18:37:34.269019,4522207,False
2019-07-04T18:37:50.742042,4391150,False
2019-07-04T18:37:57.011689,2490493,False
2019-07-04T19:17:59.055390,3801280,False
2019-07-04T19:58:01.159840,5767468,False
