Date,Moisture,Water_On,Water_on_for_seconds

2019-07-04T12:16:51.162252,336,True,3
2019-07-04T12:18:01.718774,336,True,3
2019-07-04T12:24:53.082956,326,True,3
2019-07-04T12:26:17.161639,327,True,3
2019-07-04T12:26:31.998436,327,True,3
2019-07-04T12:28:39.704344,326,True,3
2019-07-04T12:29:10.543837,324,True,3
2019-07-04T12:32:46.549982,321,True,3
2019-07-04T12:44:54.029569,Manually Added,True,5
2019-07-04T16:50:57.356893,Manually Added,True,5
2019-07-04T16:53:11.340136,Manually Added,True,5
2019-07-04T16:53:21.102759,Manually Added,True,5
2019-07-04T16:54:56.645795,Manually Added,True,5
2019-07-04T16:55:02.856551,Manually Added,True,5
2019-07-04T16:55:11.119972,Manually Added,True,5
2019-07-04T16:56:37.564313,Manually Added,True,5
2019-07-04T17:00:24.352776,Manually Added,True,5
2019-07-04T17:02:24.092429,Manually Added,True,5
2019-07-04T17:10:37.921633,789,True,3
2019-07-04T17:15:51.411160,Manually Added,True,5
2019-07-04T17:52:32.806743,Manually Added,True,5
2019-07-04T18:14:47.489944,Manually Added,True,5
2019-07-04T18:14:53.698245,Manually Added,True,5
2019-07-04T18:15:36.589367,Manually Added,True,5
2019-07-04T18:17:35.755439,Manually Added,True,5
2019-07-04T18:19:07.019395,Manually Added,True,5
2019-07-04T18:20:57.552412,796,True,3
2019-07-04T18:20:59.680395,Manually Added,True,5
2019-07-04T18:25:00.763915,799,True,3
2019-07-04T18:32:44.359366,790,True,3
2019-07-04T18:37:48.225429,Manually Added,True,5
2019-07-04T18:58:41.637623,Manually Added,True,5
2019-07-04T19:05:16.746819,Manually Added,True,5
2019-07-04T19:05:27.921751,Manually Added,True,5
2019-07-04T19:06:34.818230,Manually Added,True,5
2019-07-04T19:11:51.564751,Manually Added,True,5
2019-07-04T19:12:00.552007,Manually Added,True,5
2019-07-04T19:12:25.769342,Manually Added,True,5
2019-07-04T19:12:33.023082,Manually Added,True,5
2019-07-04T19:12:44.345624,Manually Added,True,5
2019-07-04T19:18:14.579274,Manually Added,True,5
2019-07-04T19:24:13.077043,783,True,3
2019-07-04T19:24:15.286454,Manually Added,True,5
2019-07-04T19:25:02.301579,Manually Added,True,5
2019-07-04T19:25:19.075330,Manually Added,True,5
2019-07-04T19:26:04.828597,Manually Added,True,5
2019-07-04T19:26:49.825882,Manually Added,True,5
2019-07-04T19:27:51.877389,Manually Added,True,5
